participant_id,response_id,scenario,topic,shown_code_1,shown_code_2,shown_type_1,shown_type_2,pair,preferred_code,preferred_type,preferred_type_name,no_clear_preference
P022,R_2kM6LikSFtKGR2U,B1,Belly/stomach pain,B1C,B1E,C,E,C|E,B1E,E,Doctor-written-style explanation,False
P023,R_2FquOcvznAFp1ND,B1,Belly/stomach pain,B1B,B1D,B,D,B|D,B1B,B,Local feature-attribution / key-factor explanation,False
P024,R_2gMzN6NBgzZJ0Mb,B1,Belly/stomach pain,B1A,B1C,A,C,A|C,B1A,A,Rule-based decision path,False
P025,R_8OHDD9l9hNnRn3F,B1,Belly/stomach pain,B1A,B1E,A,E,A|E,B1A,A,Rule-based decision path,False
P026,R_2dnacUtaiDoQt0u,B1,Belly/stomach pain,B1A,B1C,A,C,A|C,B1A,A,Rule-based decision path,False
P028,R_2Xoi8XWGpvrHu2s,B1,Belly/stomach pain,B1A,B1C,A,C,A|C,B1A,A,Rule-based decision path,False
P029,R_2If52xcbQMEJyPn,B1,Belly/stomach pain,B1A,B1C,A,C,A|C,B1A,A,Rule-based decision path,False
P030,R_81YN18e9BJFiEKu,B1,Belly/stomach pain,B1A,B1E,A,E,A|E,B1A,A,Rule-based decision path,False
P031,R_8ieNZXGBztLmYKu,B1,Belly/stomach pain,B1A,B1D,A,D,A|D,B1A,A,Rule-based decision path,False
P032,R_2jHdIVqxp0LxPTz,B1,Belly/stomach pain,B1A,B1D,A,D,A|D,B1A,A,Rule-based decision path,False
P033,R_8Ev4OYXrNqG40Ig,B1,Belly/stomach pain,B1A,B1D,A,D,A|D,B1A,A,Rule-based decision path,False
P034,R_8fcTUmtbd7RWvR6,B1,Belly/stomach pain,B1D,B1E,D,E,D|E,B1E,E,Doctor-written-style explanation,False
P035,R_2D6WTpT3P1jmFdZ,B1,Belly/stomach pain,B1A,B1C,A,C,A|C,B1A,A,Rule-based decision path,False
P037,R_8Ym68fZB8lcHaLU,B1,Belly/stomach pain,B1B,B1D,B,D,B|D,B1B,B,Local feature-attribution / key-factor explanation,False
P038,R_2pqPccJ7X6Ow6bL,B1,Belly/stomach pain,B1A,B1C,A,C,A|C,B1A,A,Rule-based decision path,False
P039,R_8TXLz2ngPXUHsg1,B1,Belly/stomach pain,B1A,B1C,A,C,A|C,B1A,A,Rule-based decision path,False
P045,R_2AuWuLj6hrD3vbP,B1,Belly/stomach pain,B1D,B1E,D,E,D|E,B1D,D,LLM natural-language explanation,False
P046,R_2znLVXbmg45JWPC,B1,Belly/stomach pain,B1A,B1E,A,E,A|E,B1A,A,Rule-based decision path,False
P047,R_2r2g76EB5WzlPlE,B1,Belly/stomach pain,B1A,B1C,A,C,A|C,B1A,A,Rule-based decision path,False
P049,R_2h4sb4bawJdulOo,B1,Belly/stomach pain,B1A,B1C,A,C,A|C,B1A,A,Rule-based decision path,False
P050,R_2HXj0saAJh7x4Us,B1,Belly/stomach pain,B1A,B1C,A,C,A|C,B1A,A,Rule-based decision path,False
P051,R_83jcdRgKC1yerGN,B1,Belly/stomach pain,B1A,B1C,A,C,A|C,B1A,A,Rule-based decision path,False
P052,R_8hng6Y9RSLYM1uE,B1,Belly/stomach pain,B1A,B1E,A,E,A|E,B1A,A,Rule-based decision path,False
P053,R_2dd6WbDazlsp6GR,B1,Belly/stomach pain,B1A,B1E,A,E,A|E,B1A,A,Rule-based decision path,False
P054,R_8jUwtXkghMAko4Z,B1,Belly/stomach pain,B1A,B1E,A,E,A|E,B1A,A,Rule-based decision path,False
P055,R_2OI7cjnhWztRfXn,B1,Belly/stomach pain,B1A,B1D,A,D,A|D,B1A,A,Rule-based decision path,False
P056,R_8raIXWlKLqKNVMR,B1,Belly/stomach pain,B1A,B1C,A,C,A|C,B1C,C,Counterfactual explanation,False
P058,R_8t0tOyMuhWUt6AF,B1,Belly/stomach pain,B1B,B1D,B,D,B|D,B1D,D,LLM natural-language explanation,False
P060,R_2KDwfKnAPQGoSO7,B1,Belly/stomach pain,B1B,B1E,B,E,B|E,B1E,E,Doctor-written-style explanation,False
P061,R_2KGVjxNJbUxmmwN,B1,Belly/stomach pain,B1C,B1E,C,E,C|E,B1C,C,Counterfactual explanation,False
P062,R_29if10lWZQQSQN4,B1,Belly/stomach pain,B1A,B1E,A,E,A|E,B1E,E,Doctor-written-style explanation,False
P063,R_2pXrXB3B3nykjrP,B1,Belly/stomach pain,B1B,B1D,B,D,B|D,B1B,B,Local feature-attribution / key-factor explanation,False
P001,R_2siP2AR4k5kxlQd,B2,Belly/stomach pain,B2C,B2D,C,D,C|D,B2C,C,Counterfactual explanation,False
P002,R_8txlseIZpRyf8eF,B2,Belly/stomach pain,B2C,B2D,C,D,C|D,B2D,D,LLM natural-language explanation,False
P004,R_2QsZYZ5xhhmtprB,B2,Belly/stomach pain,B2C,B2E,C,E,C|E,B2E,E,Doctor-written-style explanation,False
P005,R_2mk0Otms6W3G7m6,B2,Belly/stomach pain,B2A,B2C,A,C,A|C,B2A,A,Rule-based decision path,False
P006,R_2z7P4z2c1fY25eU,B2,Belly/stomach pain,B2A,B2C,A,C,A|C,B2A,A,Rule-based decision path,False
P007,R_8eXG1jT9WHRNk6g,B2,Belly/stomach pain,B2B,B2D,B,D,B|D,B2D,D,LLM natural-language explanation,False
P008,R_8CZZj2bH16ds3Gk,B2,Belly/stomach pain,B2A,B2D,A,D,A|D,B2A,A,Rule-based decision path,False
P009,R_2CJjxOa0OLMTNE1,B2,Belly/stomach pain,B2B,B2D,B,D,B|D,B2B,B,Local feature-attribution / key-factor explanation,False
P011,R_8gxhawknMc9x5oB,B2,Belly/stomach pain,B2B,B2D,B,D,B|D,B2B,B,Local feature-attribution / key-factor explanation,False
P013,R_8dtu7pifvNrExGt,B2,Belly/stomach pain,B2A,B2C,A,C,A|C,B2A,A,Rule-based decision path,False
P015,R_2hyaVao3MYVnU6V,B2,Belly/stomach pain,B2A,B2D,A,D,A|D,B2A,A,Rule-based decision path,False
P016,R_82Wg73Egv47VMfa,B2,Belly/stomach pain,B2C,B2D,C,D,C|D,B2C,C,Counterfactual explanation,False
P018,R_8onlXHxwbhXjDGm,B2,Belly/stomach pain,B2B,B2E,B,E,B|E,B2E,E,Doctor-written-style explanation,False
P019,R_8oSGgsahbAT7s0T,B2,Belly/stomach pain,B2C,B2D,C,D,C|D,B2C,C,Counterfactual explanation,False
P020,R_2nGbLUYu0UNb0Ax,B2,Belly/stomach pain,B2B,B2E,B,E,B|E,B2B,B,Local feature-attribution / key-factor explanation,False
P021,R_2m8uvmVPOFVMslr,B2,Belly/stomach pain,B2B,B2E,B,E,B|E,B2E,E,Doctor-written-style explanation,False
P022,R_2kM6LikSFtKGR2U,B2,Belly/stomach pain,B2A,B2D,A,D,A|D,B2D,D,LLM natural-language explanation,False
P023,R_2FquOcvznAFp1ND,B2,Belly/stomach pain,B2A,B2E,A,E,A|E,B2A,A,Rule-based decision path,False
P024,R_2gMzN6NBgzZJ0Mb,B2,Belly/stomach pain,B2B,B2E,B,E,B|E,B2E,E,Doctor-written-style explanation,False
P025,R_8OHDD9l9hNnRn3F,B2,Belly/stomach pain,B2C,B2D,C,D,C|D,B2C,C,Counterfactual explanation,False
P026,R_2dnacUtaiDoQt0u,B2,Belly/stomach pain,B2D,B2E,D,E,D|E,B2E,E,Doctor-written-style explanation,False
P028,R_2Xoi8XWGpvrHu2s,B2,Belly/stomach pain,B2D,B2E,D,E,D|E,B2E,E,Doctor-written-style explanation,False
P029,R_2If52xcbQMEJyPn,B2,Belly/stomach pain,B2B,B2D,B,D,B|D,B2B,B,Local feature-attribution / key-factor explanation,False
P030,R_81YN18e9BJFiEKu,B2,Belly/stomach pain,B2B,B2D,B,D,B|D,B2B,B,Local feature-attribution / key-factor explanation,False
P031,R_8ieNZXGBztLmYKu,B2,Belly/stomach pain,B2B,B2C,B,C,B|C,B2B,B,Local feature-attribution / key-factor explanation,False
P032,R_2jHdIVqxp0LxPTz,B2,Belly/stomach pain,B2B,B2C,B,C,B|C,B2B,B,Local feature-attribution / key-factor explanation,False
P033,R_8Ev4OYXrNqG40Ig,B2,Belly/stomach pain,B2B,B2C,B,C,B|C,B2B,B,Local feature-attribution / key-factor explanation,False
P034,R_8fcTUmtbd7RWvR6,B2,Belly/stomach pain,B2B,B2C,B,C,B|C,B2B,B,Local feature-attribution / key-factor explanation,False
P035,R_2D6WTpT3P1jmFdZ,B2,Belly/stomach pain,B2B,B2D,B,D,B|D,B2B,B,Local feature-attribution / key-factor explanation,False
P037,R_8Ym68fZB8lcHaLU,B2,Belly/stomach pain,B2A,B2D,A,D,A|D,B2A,A,Rule-based decision path,False
P038,R_2pqPccJ7X6Ow6bL,B2,Belly/stomach pain,B2B,B2D,B,D,B|D,B2B,B,Local feature-attribution / key-factor explanation,False
P039,R_8TXLz2ngPXUHsg1,B2,Belly/stomach pain,B2B,B2D,B,D,B|D,B2B,B,Local feature-attribution / key-factor explanation,False
P045,R_2AuWuLj6hrD3vbP,B2,Belly/stomach pain,B2B,B2C,B,C,B|C,B2C,C,Counterfactual explanation,False
P046,R_2znLVXbmg45JWPC,B2,Belly/stomach pain,B2B,B2D,B,D,B|D,B2B,B,Local feature-attribution / key-factor explanation,False
P047,R_2r2g76EB5WzlPlE,B2,Belly/stomach pain,B2B,B2D,B,D,B|D,B2B,B,Local feature-attribution / key-factor explanation,False
P049,R_2h4sb4bawJdulOo,B2,Belly/stomach pain,B2B,B2D,B,D,B|D,B2B,B,Local feature-attribution / key-factor explanation,False
P050,R_2HXj0saAJh7x4Us,B2,Belly/stomach pain,B2B,B2D,B,D,B|D,B2B,B,Local feature-attribution / key-factor explanation,False
P051,R_83jcdRgKC1yerGN,B2,Belly/stomach pain,B2B,B2D,B,D,B|D,B2B,B,Local feature-attribution / key-factor explanation,False
P052,R_8hng6Y9RSLYM1uE,B2,Belly/stomach pain,B2B,B2C,B,C,B|C,B2B,B,Local feature-attribution / key-factor explanation,False
P053,R_2dd6WbDazlsp6GR,B2,Belly/stomach pain,B2B,B2C,B,C,B|C,B2B,B,Local feature-attribution / key-factor explanation,False
P054,R_8jUwtXkghMAko4Z,B2,Belly/stomach pain,B2B,B2C,B,C,B|C,B2B,B,Local feature-attribution / key-factor explanation,False
P055,R_2OI7cjnhWztRfXn,B2,Belly/stomach pain,B2B,B2E,B,E,B|E,B2E,E,Doctor-written-style explanation,False
P056,R_8raIXWlKLqKNVMR,B2,Belly/stomach pain,B2A,B2E,A,E,A|E,B2E,E,Doctor-written-style explanation,False
P057,R_2eQKZJlPjVkBdRH,B2,Belly/stomach pain,B2A,B2C,A,C,A|C,B2A,A,Rule-based decision path,False
P058,R_8t0tOyMuhWUt6AF,B2,Belly/stomach pain,B2A,B2C,A,C,A|C,B2C,C,Counterfactual explanation,False
P059,R_2HrQQwfw9gObwJz,B2,Belly/stomach pain,B2A,B2E,A,E,A|E,B2E,E,Doctor-written-style explanation,False
P060,R_2KDwfKnAPQGoSO7,B2,Belly/stomach pain,B2C,B2D,C,D,C|D,B2C,C,Counterfactual explanation,False
P061,R_2KGVjxNJbUxmmwN,B2,Belly/stomach pain,B2A,B2B,A,B,A|B,B2A,A,Rule-based decision path,False
P062,R_29if10lWZQQSQN4,B2,Belly/stomach pain,B2B,B2D,B,D,B|D,B2D,D,LLM natural-language explanation,False
P063,R_2pXrXB3B3nykjrP,B2,Belly/stomach pain,B2A,B2E,A,E,A|E,B2A,A,Rule-based decision path,False
P002,R_8txlseIZpRyf8eF,B3,Belly/stomach pain,B3A,B3B,A,B,A|B,B3B,B,Local feature-attribution / key-factor explanation,False
P004,R_2QsZYZ5xhhmtprB,B3,Belly/stomach pain,B3A,B3E,A,E,A|E,B3A,A,Rule-based decision path,False
P005,R_2mk0Otms6W3G7m6,B3,Belly/stomach pain,B3A,B3E,A,E,A|E,B3A,A,Rule-based decision path,False
P006,R_2z7P4z2c1fY25eU,B3,Belly/stomach pain,B3A,B3E,A,E,A|E,B3A,A,Rule-based decision path,False
P007,R_8eXG1jT9WHRNk6g,B3,Belly/stomach pain,B3C,B3E,C,E,C|E,B3C,C,Counterfactual explanation,False
P008,R_8CZZj2bH16ds3Gk,B3,Belly/stomach pain,B3A,B3B,A,B,A|B,B3A,A,Rule-based decision path,False
P009,R_2CJjxOa0OLMTNE1,B3,Belly/stomach pain,B3C,B3E,C,E,C|E,B3E,E,Doctor-written-style explanation,False
P011,R_8gxhawknMc9x5oB,B3,Belly/stomach pain,B3A,B3E,A,E,A|E,B3A,A,Rule-based decision path,False
P013,R_8dtu7pifvNrExGt,B3,Belly/stomach pain,B3B,B3D,B,D,B|D,B3B,B,Local feature-attribution / key-factor explanation,False
P015,R_2hyaVao3MYVnU6V,B3,Belly/stomach pain,B3A,B3C,A,C,A|C,B3A,A,Rule-based decision path,False
P016,R_82Wg73Egv47VMfa,B3,Belly/stomach pain,B3A,B3B,A,B,A|B,B3A,A,Rule-based decision path,False
P018,R_8onlXHxwbhXjDGm,B3,Belly/stomach pain,B3A,B3D,A,D,A|D,B3A,A,Rule-based decision path,False
P019,R_8oSGgsahbAT7s0T,B3,Belly/stomach pain,B3B,B3E,B,E,B|E,B3E,E,Doctor-written-style explanation,False
P020,R_2nGbLUYu0UNb0Ax,B3,Belly/stomach pain,B3B,B3E,B,E,B|E,B3B,B,Local feature-attribution / key-factor explanation,False
P021,R_2m8uvmVPOFVMslr,B3,Belly/stomach pain,B3A,B3D,A,D,A|D,B3A,A,Rule-based decision path,False
P023,R_2FquOcvznAFp1ND,B3,Belly/stomach pain,B3A,B3C,A,C,A|C,B3A,A,Rule-based decision path,False
P024,R_2gMzN6NBgzZJ0Mb,B3,Belly/stomach pain,B3C,B3D,C,D,C|D,B3C,C,Counterfactual explanation,False
P025,R_8OHDD9l9hNnRn3F,B3,Belly/stomach pain,B3A,B3B,A,B,A|B,B3A,A,Rule-based decision path,False
P026,R_2dnacUtaiDoQt0u,B3,Belly/stomach pain,B3B,B3E,B,E,B|E,B3E,E,Doctor-written-style explanation,False
P028,R_2Xoi8XWGpvrHu2s,B3,Belly/stomach pain,B3A,B3B,A,B,A|B,B3A,A,Rule-based decision path,False
P029,R_2If52xcbQMEJyPn,B3,Belly/stomach pain,B3A,B3E,A,E,A|E,B3A,A,Rule-based decision path,False
P030,R_81YN18e9BJFiEKu,B3,Belly/stomach pain,B3A,B3C,A,C,A|C,B3A,A,Rule-based decision path,False
P031,R_8ieNZXGBztLmYKu,B3,Belly/stomach pain,B3A,B3E,A,E,A|E,B3A,A,Rule-based decision path,False
P032,R_2jHdIVqxp0LxPTz,B3,Belly/stomach pain,B3A,B3E,A,E,A|E,B3A,A,Rule-based decision path,False
P033,R_8Ev4OYXrNqG40Ig,B3,Belly/stomach pain,B3A,B3E,A,E,A|E,B3A,A,Rule-based decision path,False
P034,R_8fcTUmtbd7RWvR6,B3,Belly/stomach pain,B3C,B3D,C,D,C|D,B3C,C,Counterfactual explanation,False
P035,R_2D6WTpT3P1jmFdZ,B3,Belly/stomach pain,B3A,B3E,A,E,A|E,B3A,A,Rule-based decision path,False
P037,R_8Ym68fZB8lcHaLU,B3,Belly/stomach pain,B3A,B3B,A,B,A|B,B3A,A,Rule-based decision path,False
P038,R_2pqPccJ7X6Ow6bL,B3,Belly/stomach pain,B3A,B3E,A,E,A|E,B3A,A,Rule-based decision path,False
P039,R_8TXLz2ngPXUHsg1,B3,Belly/stomach pain,B3A,B3E,A,E,A|E,B3A,A,Rule-based decision path,False
P045,R_2AuWuLj6hrD3vbP,B3,Belly/stomach pain,B3A,B3B,A,B,A|B,B3B,B,Local feature-attribution / key-factor explanation,False
P046,R_2znLVXbmg45JWPC,B3,Belly/stomach pain,B3A,B3C,A,C,A|C,B3A,A,Rule-based decision path,False
P047,R_2r2g76EB5WzlPlE,B3,Belly/stomach pain,B3A,B3E,A,E,A|E,B3A,A,Rule-based decision path,False
P049,R_2h4sb4bawJdulOo,B3,Belly/stomach pain,B3A,B3E,A,E,A|E,B3A,A,Rule-based decision path,False
P050,R_2HXj0saAJh7x4Us,B3,Belly/stomach pain,B3A,B3E,A,E,A|E,B3A,A,Rule-based decision path,False
P051,R_83jcdRgKC1yerGN,B3,Belly/stomach pain,B3C,B3E,C,E,C|E,B3E,E,Doctor-written-style explanation,False
P052,R_8hng6Y9RSLYM1uE,B3,Belly/stomach pain,B3A,B3D,A,D,A|D,B3A,A,Rule-based decision path,False
P053,R_2dd6WbDazlsp6GR,B3,Belly/stomach pain,B3A,B3D,A,D,A|D,B3A,A,Rule-based decision path,False
P054,R_8jUwtXkghMAko4Z,B3,Belly/stomach pain,B3A,B3D,A,D,A|D,B3A,A,Rule-based decision path,False
P055,R_2OI7cjnhWztRfXn,B3,Belly/stomach pain,B3A,B3C,A,C,A|C,B3A,A,Rule-based decision path,False
P056,R_8raIXWlKLqKNVMR,B3,Belly/stomach pain,B3C,B3D,C,D,C|D,B3D,D,LLM natural-language explanation,False
P058,R_8t0tOyMuhWUt6AF,B3,Belly/stomach pain,B3D,B3E,D,E,D|E,B3E,E,Doctor-written-style explanation,False
P059,R_2HrQQwfw9gObwJz,B3,Belly/stomach pain,B3B,B3C,B,C,B|C,B3C,C,Counterfactual explanation,False
P060,R_2KDwfKnAPQGoSO7,B3,Belly/stomach pain,B3A,B3E,A,E,A|E,B3E,E,Doctor-written-style explanation,False
P061,R_2KGVjxNJbUxmmwN,B3,Belly/stomach pain,B3A,B3D,A,D,A|D,B3A,A,Rule-based decision path,False
P062,R_29if10lWZQQSQN4,B3,Belly/stomach pain,B3A,B3C,A,C,A|C,B3C,C,Counterfactual explanation,False
P063,R_2pXrXB3B3nykjrP,B3,Belly/stomach pain,B3A,B3C,A,C,A|C,B3A,A,Rule-based decision path,False
P001,R_2siP2AR4k5kxlQd,B4,Belly/stomach pain,B4B,B4E,B,E,B|E,B4E,E,Doctor-written-style explanation,False
P002,R_8txlseIZpRyf8eF,B4,Belly/stomach pain,B4D,B4E,D,E,D|E,B4D,D,LLM natural-language explanation,False
P005,R_2mk0Otms6W3G7m6,B4,Belly/stomach pain,B4B,B4C,B,C,B|C,B4B,B,Local feature-attribution / key-factor explanation,False
P006,R_2z7P4z2c1fY25eU,B4,Belly/stomach pain,B4B,B4E,B,E,B|E,B4E,E,Doctor-written-style explanation,False
P007,R_8eXG1jT9WHRNk6g,B4,Belly/stomach pain,B4A,B4B,A,B,A|B,B4A,A,Rule-based decision path,False
P008,R_8CZZj2bH16ds3Gk,B4,Belly/stomach pain,B4B,B4E,B,E,B|E,B4E,E,Doctor-written-style explanation,False
P009,R_2CJjxOa0OLMTNE1,B4,Belly/stomach pain,B4A,B4E,A,E,A|E,B4A,A,Rule-based decision path,False
P011,R_8gxhawknMc9x5oB,B4,Belly/stomach pain,B4C,B4E,C,E,C|E,B4E,E,Doctor-written-style explanation,False
P013,R_8dtu7pifvNrExGt,B4,Belly/stomach pain,B4C,B4E,C,E,C|E,B4E,E,Doctor-written-style explanation,False
P015,R_2hyaVao3MYVnU6V,B4,Belly/stomach pain,B4B,B4E,B,E,B|E,B4E,E,Doctor-written-style explanation,False
P016,R_82Wg73Egv47VMfa,B4,Belly/stomach pain,B4C,B4E,C,E,C|E,B4E,E,Doctor-written-style explanation,False
P018,R_8onlXHxwbhXjDGm,B4,Belly/stomach pain,B4C,B4D,C,D,C|D,B4C,C,Counterfactual explanation,False
P019,R_8oSGgsahbAT7s0T,B4,Belly/stomach pain,B4A,B4D,A,D,A|D,B4A,A,Rule-based decision path,False
P020,R_2nGbLUYu0UNb0Ax,B4,Belly/stomach pain,B4A,B4E,A,E,A|E,B4A,A,Rule-based decision path,False
P021,R_2m8uvmVPOFVMslr,B4,Belly/stomach pain,B4C,B4D,C,D,C|D,B4C,C,Counterfactual explanation,False
P022,R_2kM6LikSFtKGR2U,B4,Belly/stomach pain,B4B,B4E,B,E,B|E,B4E,E,Doctor-written-style explanation,False
P023,R_2FquOcvznAFp1ND,B4,Belly/stomach pain,B4D,B4E,D,E,D|E,B4E,E,Doctor-written-style explanation,False
P024,R_2gMzN6NBgzZJ0Mb,B4,Belly/stomach pain,B4B,B4D,B,D,B|D,B4B,B,Local feature-attribution / key-factor explanation,False
P025,R_8OHDD9l9hNnRn3F,B4,Belly/stomach pain,B4B,B4D,B,D,B|D,B4B,B,Local feature-attribution / key-factor explanation,False
P026,R_2dnacUtaiDoQt0u,B4,Belly/stomach pain,B4A,B4B,A,B,A|B,B4A,A,Rule-based decision path,False
P028,R_2Xoi8XWGpvrHu2s,B4,Belly/stomach pain,B4C,B4E,C,E,C|E,B4E,E,Doctor-written-style explanation,False
P029,R_2If52xcbQMEJyPn,B4,Belly/stomach pain,B4C,B4D,C,D,C|D,B4C,C,Counterfactual explanation,False
P030,R_81YN18e9BJFiEKu,B4,Belly/stomach pain,B4D,B4E,D,E,D|E,B4E,E,Doctor-written-style explanation,False
P031,R_8ieNZXGBztLmYKu,B4,Belly/stomach pain,B4C,B4D,C,D,C|D,B4C,C,Counterfactual explanation,False
P032,R_2jHdIVqxp0LxPTz,B4,Belly/stomach pain,B4C,B4D,C,D,C|D,B4C,C,Counterfactual explanation,False
P033,R_8Ev4OYXrNqG40Ig,B4,Belly/stomach pain,B4C,B4D,C,D,C|D,B4C,C,Counterfactual explanation,False
P034,R_8fcTUmtbd7RWvR6,B4,Belly/stomach pain,B4B,B4D,B,D,B|D,B4B,B,Local feature-attribution / key-factor explanation,False
P035,R_2D6WTpT3P1jmFdZ,B4,Belly/stomach pain,B4C,B4D,C,D,C|D,B4C,C,Counterfactual explanation,False
P037,R_8Ym68fZB8lcHaLU,B4,Belly/stomach pain,B4D,B4E,D,E,D|E,B4E,E,Doctor-written-style explanation,False
P038,R_2pqPccJ7X6Ow6bL,B4,Belly/stomach pain,B4C,B4D,C,D,C|D,B4C,C,Counterfactual explanation,False
P039,R_8TXLz2ngPXUHsg1,B4,Belly/stomach pain,B4C,B4D,C,D,C|D,B4C,C,Counterfactual explanation,False
P046,R_2znLVXbmg45JWPC,B4,Belly/stomach pain,B4D,B4E,D,E,D|E,B4E,E,Doctor-written-style explanation,False
P047,R_2r2g76EB5WzlPlE,B4,Belly/stomach pain,B4C,B4D,C,D,C|D,B4C,C,Counterfactual explanation,False
P049,R_2h4sb4bawJdulOo,B4,Belly/stomach pain,B4C,B4D,C,D,C|D,B4C,C,Counterfactual explanation,False
P050,R_2HXj0saAJh7x4Us,B4,Belly/stomach pain,B4C,B4D,C,D,C|D,B4C,C,Counterfactual explanation,False
P051,R_83jcdRgKC1yerGN,B4,Belly/stomach pain,B4A,B4B,A,B,A|B,B4A,A,Rule-based decision path,False
P052,R_8hng6Y9RSLYM1uE,B4,Belly/stomach pain,B4C,B4E,C,E,C|E,B4E,E,Doctor-written-style explanation,False
P053,R_2dd6WbDazlsp6GR,B4,Belly/stomach pain,B4C,B4E,C,E,C|E,B4E,E,Doctor-written-style explanation,False
P054,R_8jUwtXkghMAko4Z,B4,Belly/stomach pain,B4C,B4E,C,E,C|E,B4C,C,Counterfactual explanation,False
P055,R_2OI7cjnhWztRfXn,B4,Belly/stomach pain,B4B,B4D,B,D,B|D,B4D,D,LLM natural-language explanation,False
P057,R_2eQKZJlPjVkBdRH,B4,Belly/stomach pain,B4D,B4E,D,E,D|E,B4E,E,Doctor-written-style explanation,False
P058,R_8t0tOyMuhWUt6AF,B4,Belly/stomach pain,B4B,B4C,B,C,B|C,B4C,C,Counterfactual explanation,False
P060,R_2KDwfKnAPQGoSO7,B4,Belly/stomach pain,B4B,B4C,B,C,B|C,B4C,C,Counterfactual explanation,False
P061,R_2KGVjxNJbUxmmwN,B4,Belly/stomach pain,B4C,B4E,C,E,C|E,B4E,E,Doctor-written-style explanation,False
P063,R_2pXrXB3B3nykjrP,B4,Belly/stomach pain,B4D,B4E,D,E,D|E,B4E,E,Doctor-written-style explanation,False
P001,R_2siP2AR4k5kxlQd,B5,Belly/stomach pain,B5C,B5E,C,E,C|E,B5E,E,Doctor-written-style explanation,False
P002,R_8txlseIZpRyf8eF,B5,Belly/stomach pain,B5B,B5C,B,C,B|C,B5B,B,Local feature-attribution / key-factor explanation,False
P005,R_2mk0Otms6W3G7m6,B5,Belly/stomach pain,B5A,B5D,A,D,A|D,B5A,A,Rule-based decision path,False
P006,R_2z7P4z2c1fY25eU,B5,Belly/stomach pain,B5C,B5D,C,D,C|D,B5C,C,Counterfactual explanation,False
P007,R_8eXG1jT9WHRNk6g,B5,Belly/stomach pain,B5C,B5E,C,E,C|E,B5E,E,Doctor-written-style explanation,False
P008,R_8CZZj2bH16ds3Gk,B5,Belly/stomach pain,B5C,B5D,C,D,C|D,B5C,C,Counterfactual explanation,False
P009,R_2CJjxOa0OLMTNE1,B5,Belly/stomach pain,B5B,B5E,B,E,B|E,B5B,B,Local feature-attribution / key-factor explanation,False
P011,R_8gxhawknMc9x5oB,B5,Belly/stomach pain,B5B,B5D,B,D,B|D,B5D,D,LLM natural-language explanation,False
P013,R_8dtu7pifvNrExGt,B5,Belly/stomach pain,B5B,B5C,B,C,B|C,B5B,B,Local feature-attribution / key-factor explanation,False
P015,R_2hyaVao3MYVnU6V,B5,Belly/stomach pain,B5C,B5D,C,D,C|D,B5C,C,Counterfactual explanation,False
P016,R_82Wg73Egv47VMfa,B5,Belly/stomach pain,B5B,B5D,B,D,B|D,B5B,B,Local feature-attribution / key-factor explanation,False
P018,R_8onlXHxwbhXjDGm,B5,Belly/stomach pain,B5B,B5E,B,E,B|E,B5E,E,Doctor-written-style explanation,False
P019,R_8oSGgsahbAT7s0T,B5,Belly/stomach pain,B5B,B5C,B,C,B|C,B5B,B,Local feature-attribution / key-factor explanation,False
P020,R_2nGbLUYu0UNb0Ax,B5,Belly/stomach pain,B5C,B5D,C,D,C|D,B5C,C,Counterfactual explanation,False
P021,R_2m8uvmVPOFVMslr,B5,Belly/stomach pain,B5B,B5E,B,E,B|E,B5E,E,Doctor-written-style explanation,False
P022,R_2kM6LikSFtKGR2U,B5,Belly/stomach pain,B5A,B5C,A,C,A|C,B5C,C,Counterfactual explanation,False
P023,R_2FquOcvznAFp1ND,B5,Belly/stomach pain,B5B,B5C,B,C,B|C,B5B,B,Local feature-attribution / key-factor explanation,False
P024,R_2gMzN6NBgzZJ0Mb,B5,Belly/stomach pain,B5A,B5E,A,E,A|E,B5A,A,Rule-based decision path,False
P025,R_8OHDD9l9hNnRn3F,B5,Belly/stomach pain,B5C,B5E,C,E,C|E,B5E,E,Doctor-written-style explanation,False
P026,R_2dnacUtaiDoQt0u,B5,Belly/stomach pain,B5C,B5D,C,D,C|D,B5C,C,Counterfactual explanation,False
P028,R_2Xoi8XWGpvrHu2s,B5,Belly/stomach pain,B5B,B5D,B,D,B|D,B5B,B,Local feature-attribution / key-factor explanation,False
P029,R_2If52xcbQMEJyPn,B5,Belly/stomach pain,B5B,B5E,B,E,B|E,B5E,E,Doctor-written-style explanation,False
P030,R_81YN18e9BJFiEKu,B5,Belly/stomach pain,B5B,B5C,B,C,B|C,B5B,B,Local feature-attribution / key-factor explanation,False
P034,R_8fcTUmtbd7RWvR6,B5,Belly/stomach pain,B5B,B5E,B,E,B|E,B5E,E,Doctor-written-style explanation,False
P035,R_2D6WTpT3P1jmFdZ,B5,Belly/stomach pain,B5B,B5E,B,E,B|E,B5E,E,Doctor-written-style explanation,False
P037,R_8Ym68fZB8lcHaLU,B5,Belly/stomach pain,B5B,B5C,B,C,B|C,B5C,C,Counterfactual explanation,False
P038,R_2pqPccJ7X6Ow6bL,B5,Belly/stomach pain,B5B,B5E,B,E,B|E,B5E,E,Doctor-written-style explanation,False
P039,R_8TXLz2ngPXUHsg1,B5,Belly/stomach pain,B5B,B5E,B,E,B|E,B5E,E,Doctor-written-style explanation,False
